 A16905_26L_model                                                                 REF PER =   1.0 SECS


  LEVEL    RADIUS        RHO         VPV         VPH         VSV         VSH         ETA         QMU         QKAP
   135   3044109.0    10540.74     8735.93     8735.93        0.00        0.00     1.00000        0.00    57823.00
   136   3078861.0    10493.81     8687.80     8687.80        0.00        0.00     1.00000        0.00    57823.00
   137   3113417.0    10446.45     8639.06     8639.06        0.00        0.00     1.00000        0.00    57823.00
   138   3147776.0    10398.68     8589.72     8589.72        0.00        0.00     1.00000        0.00    57823.00
   139   3181935.0    10350.50     8539.79     8539.79        0.00        0.00     1.00000        0.00    57823.00
   140   3215892.0    10301.93     8489.26     8489.26        0.00        0.00     1.00000        0.00    57823.00
   141   3249645.0    10252.98     8438.15     8438.15        0.00        0.00     1.00000        0.00    57823.00
   142   3283191.0    10203.65     8386.47     8386.47        0.00        0.00     1.00000        0.00    57823.00
   143   3316527.0    10153.96     8334.22     8334.22        0.00        0.00     1.00000        0.00    57823.00
   144   3349653.0    10103.91     8281.41     8281.41        0.00        0.00     1.00000        0.00    57823.00
   145   3382565.0    10053.53     8228.05     8228.05        0.00        0.00     1.00000        0.00    57823.00
   146   3415262.0    10002.82     8174.16     8174.16        0.00        0.00     1.00000        0.00    57823.00
   147   3447741.0     9951.79     8119.73     8119.73        0.00        0.00     1.00000        0.00    57823.00
   148   3480000.0     9900.45     8064.79     8064.79        0.00        0.00     1.00000        0.00    57823.00
   149   3480000.0     5566.46    13716.62    13716.62     7264.65     7264.65     1.00000      312.00    57823.00
   150   3484690.0     5564.10    13715.47    13715.47     7264.70     7264.70     1.00000      312.00    57823.00
   151   3513750.0     5549.55    13708.36    13708.36     7264.99     7264.99     1.00000      312.00    57823.00
   152   3542811.0     5535.01    13701.30    13701.30     7265.26     7265.26     1.00000      312.00    57823.00
   153   3571873.0     5520.48    13694.30    13694.30     7265.52     7265.52     1.00000      312.00    57823.00
   154   3600936.0     5505.97    13687.35    13687.35     7265.75     7265.75     1.00000      312.00    57823.00
   155   3630000.0     5491.48    13680.44    13680.44     7265.97     7265.97     1.00000      312.00    57823.00
   156   3630000.0     5491.48    13680.42    13680.42     7265.93     7265.93     1.00000      312.00    57823.00
   157   3649585.0     5481.71    13656.66    13656.66     7256.95     7256.95     1.00000      312.00    57823.00
   158   3678560.0     5467.28    13621.71    13621.71     7243.73     7243.73     1.00000      312.00    57823.00
   159   3707483.0     5452.88    13587.04    13587.04     7230.58     7230.58     1.00000      312.00    57823.00
   160   3736353.0     5438.51    13552.63    13552.63     7217.52     7217.52     1.00000      312.00    57823.00
   161   3765171.0     5424.17    13518.48    13518.48     7204.52     7204.52     1.00000      312.00    57823.00
   162   3793937.0     5409.86    13484.56    13484.56     7191.59     7191.59     1.00000      312.00    57823.00
   163   3822652.0     5395.57    13450.86    13450.86     7178.71     7178.71     1.00000      312.00    57823.00
   164   3851316.0     5381.31    13417.36    13417.36     7165.89     7165.89     1.00000      312.00    57823.00
   165   3879928.0     5367.07    13384.05    13384.05     7153.12     7153.12     1.00000      312.00    57823.00
   166   3908490.0     5352.86    13350.92    13350.92     7140.39     7140.39     1.00000      312.00    57823.00
   167   3937000.0     5338.66    13317.94    13317.94     7127.70     7127.70     1.00000      312.00    57823.00
   168   3965461.0     5324.49    13285.10    13285.10     7115.05     7115.05     1.00000      312.00    57823.00
   169   3993870.0     5310.33    13252.39    13252.39     7102.42     7102.42     1.00000      312.00    57823.00
   170   4022230.0     5296.18    13219.79    13219.79     7089.81     7089.81     1.00000      312.00    57823.00
   171   4050538.0     5282.04    13187.29    13187.29     7077.22     7077.22     1.00000      312.00    57823.00
   172   4078797.0     5267.92    13154.88    13154.88     7064.64     7064.64     1.00000      312.00    57823.00
   173   4107005.0     5253.81    13122.53    13122.53     7052.07     7052.07     1.00000      312.00    57823.00
   174   4135163.0     5239.71    13090.24    13090.24     7039.51     7039.51     1.00000      312.00    57823.00
   175   4163271.0     5225.61    13057.99    13057.99     7026.94     7026.94     1.00000      312.00    57823.00
